"REF_DATE","GEO","DGUID","Air carrier levels","Balance sheet","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Current assets","Dollars","81","thousands","3","v122615475","1.2.2","5427222","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other financial assets","Dollars","81","thousands","3","v122615476","1.2.3","1537303","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating property and equipment","Dollars","81","thousands","3","v122615477","1.2.4","12529752","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615478","1.2.5","4810568","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Non-operating property and equipment","Dollars","81","thousands","3","v122615479","1.2.6","86658","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615480","1.2.7","10667","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other assets","Dollars","81","thousands","3","v122615481","1.2.8","1151943","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total liabilities and capital","Dollars","81","thousands","3","v122615482","1.2.9","15911642","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total liabilities","Dollars","81","thousands","3","v122615483","1.2.10","15921028","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Current liabilities","Dollars","81","thousands","3","v122615484","1.2.11","5154956","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Advances from associated companies and/or shareholders","Dollars","81","thousands","3","v122616445","1.2.12","66829","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Long-term debt and other non-current liabilities","Dollars","81","thousands","3","v122615485","1.2.13","9744902","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Deferred income taxes","Dollars","81","thousands","3","v122615486","1.2.14","470591","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other liabillities","Dollars","81","thousands","3","v122615487","1.2.15","483750","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total shareholders equity","Dollars","81","thousands","3","v122615488","1.2.16","-9385","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Number of carriers included","Number","223","units","0","v122615489","1.2.17","25","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Capital stock","Dollars","81","thousands","3","v122615490","1.2.18","2640591","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Retained earnings","Dollars","81","thousands","3","v122615491","1.2.19","-2787097","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other items","Dollars","81","thousands","3","v122615492","1.2.20","137121","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Total assets","Dollars","81","thousands","3","v122615493","1.3.1","1008621","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Current assets","Dollars","81","thousands","3","v122615494","1.3.2","343199","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","All other financial assets","Dollars","81","thousands","3","v122615495","1.3.3","65835","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Operating property and equipment","Dollars","81","thousands","3","v122615496","1.3.4","904452","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615497","1.3.5","346210","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Non-operating property and equipment","Dollars","81","thousands","3","v122615498","1.3.6","65968","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615499","1.3.7","32146","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","All other assets","Dollars","81","thousands","3","v122615500","1.3.8","7523","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Total liabilities and capital","Dollars","81","thousands","3","v122615501","1.3.9","1008621","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Total liabilities","Dollars","81","thousands","3","v122615502","1.3.10","682374","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Current liabilities","Dollars","81","thousands","3","v122615503","1.3.11","281102","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Advances from associated companies and/or shareholders","Dollars","81","thousands","3","v122616446","1.3.12","150972","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Long-term debt and other non-current liabilities","Dollars","81","thousands","3","v122615504","1.3.13","200751","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Deferred income taxes","Dollars","81","thousands","3","v122615505","1.3.14","44197","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","All other liabillities","Dollars","81","thousands","3","v122615506","1.3.15","5352","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Total shareholders equity","Dollars","81","thousands","3","v122615507","1.3.16","326248","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Number of carriers included","Number","223","units","0","v122615508","1.3.17","73","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Capital stock","Dollars","81","thousands","3","v122615509","1.3.18","158549","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Retained earnings","Dollars","81","thousands","3","v122615510","1.3.19","143615","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","All other items","Dollars","81","thousands","3","v122615511","1.3.20","24084","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total assets","Dollars","81","thousands","3","v122615455","1.1.1","19345875","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Current assets","Dollars","81","thousands","3","v122615456","1.1.2","5968190","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other financial assets","Dollars","81","thousands","3","v122615457","1.1.3","1566177","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating property and equipment","Dollars","81","thousands","3","v122615458","1.1.4","14761029","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615459","1.1.5","5270269","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Non-operating property and equipment","Dollars","81","thousands","3","v122615460","1.1.6","141719","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615461","1.1.7","42537","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other assets","Dollars","81","thousands","3","v122615462","1.1.8","2221565","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total liabilities and capital","Dollars","81","thousands","3","v122615463","1.1.9","19345875","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total liabilities","Dollars","81","thousands","3","v122615464","1.1.10","15920736","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Current liabilities","Dollars","81","thousands","3","v122615465","1.1.11","5670688","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Advances from associated companies and/or shareholders","Dollars","81","thousands","3","v122616444","1.1.12","235621","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Long-term debt and other non-current liabilities","Dollars","81","thousands","3","v122615466","1.1.13","9005751","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Deferred income taxes","Dollars","81","thousands","3","v122615467","1.1.14","459335","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other liabillities","Dollars","81","thousands","3","v122615468","1.1.15","549341","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total shareholders equity","Dollars","81","thousands","3","v122615469","1.1.16","3425139","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Number of carriers included","Number","223","units","0","v122615470","1.1.17","97","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Capital stock","Dollars","81","thousands","3","v122615471","1.1.18","2812968","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Retained earnings","Dollars","81","thousands","3","v122615472","1.1.19","428915","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other items","Dollars","81","thousands","3","v122615473","1.1.20","183256","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total assets","Dollars","81","thousands","3","v122615474","1.2.1","18240997","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Current assets","Dollars","81","thousands","3","v122615475","1.2.2","5587354","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other financial assets","Dollars","81","thousands","3","v122615476","1.2.3","1495675","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating property and equipment","Dollars","81","thousands","3","v122615477","1.2.4","13768626","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615478","1.2.5","4900760","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Non-operating property and equipment","Dollars","81","thousands","3","v122615479","1.2.6","87106","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615480","1.2.7","11118","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other assets","Dollars","81","thousands","3","v122615481","1.2.8","2214114","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total liabilities and capital","Dollars","81","thousands","3","v122615482","1.2.9","18240997","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total liabilities","Dollars","81","thousands","3","v122615483","1.2.10","15155977","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Current liabilities","Dollars","81","thousands","3","v122615484","1.2.11","5373259","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Advances from associated companies and/or shareholders","Dollars","81","thousands","3","v122616445","1.2.12","67023","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Long-term debt and other non-current liabilities","Dollars","81","thousands","3","v122615485","1.2.13","8752792","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Deferred income taxes","Dollars","81","thousands","3","v122615486","1.2.14","418034","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other liabillities","Dollars","81","thousands","3","v122615487","1.2.15","544869","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total shareholders equity","Dollars","81","thousands","3","v122615488","1.2.16","3085020","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Number of carriers included","Number","223","units","0","v122615489","1.2.17","25","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Capital stock","Dollars","81","thousands","3","v122615490","1.2.18","2656828","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Retained earnings","Dollars","81","thousands","3","v122615491","1.2.19","267591","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other items","Dollars","81","thousands","3","v122615492","1.2.20","160601","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Total assets","Dollars","81","thousands","3","v122615493","1.3.1","1104878","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Current assets","Dollars","81","thousands","3","v122615494","1.3.2","380836","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","All other financial assets","Dollars","81","thousands","3","v122615495","1.3.3","70502","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Operating property and equipment","Dollars","81","thousands","3","v122615496","1.3.4","992403","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615497","1.3.5","369509","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Non-operating property and equipment","Dollars","81","thousands","3","v122615498","1.3.6","54614","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615499","1.3.7","31419","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","All other assets","Dollars","81","thousands","3","v122615500","1.3.8","7451","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Total liabilities and capital","Dollars","81","thousands","3","v122615501","1.3.9","1104878","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Total liabilities","Dollars","81","thousands","3","v122615502","1.3.10","764759","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Current liabilities","Dollars","81","thousands","3","v122615503","1.3.11","297429","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Advances from associated companies and/or shareholders","Dollars","81","thousands","3","v122616446","1.3.12","168598","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Long-term debt and other non-current liabilities","Dollars","81","thousands","3","v122615504","1.3.13","252959","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Deferred income taxes","Dollars","81","thousands","3","v122615505","1.3.14","41301","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","All other liabillities","Dollars","81","thousands","3","v122615506","1.3.15","4472","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Total shareholders equity","Dollars","81","thousands","3","v122615507","1.3.16","340119","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Number of carriers included","Number","223","units","0","v122615508","1.3.17","72","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Capital stock","Dollars","81","thousands","3","v122615509","1.3.18","156140","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Retained earnings","Dollars","81","thousands","3","v122615510","1.3.19","161324","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","All other items","Dollars","81","thousands","3","v122615511","1.3.20","22655","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total assets","Dollars","81","thousands","3","v122615455","1.1.1","21005349","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Current assets","Dollars","81","thousands","3","v122615456","1.1.2","6296473","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other financial assets","Dollars","81","thousands","3","v122615457","1.1.3","1546264","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating property and equipment","Dollars","81","thousands","3","v122615458","1.1.4","16639180","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615459","1.1.5","5671739","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Non-operating property and equipment","Dollars","81","thousands","3","v122615460","1.1.6","153025","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615461","1.1.7","47168","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other assets","Dollars","81","thousands","3","v122615462","1.1.8","2089314","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total liabilities and capital","Dollars","81","thousands","3","v122615463","1.1.9","21005349","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total liabilities","Dollars","81","thousands","3","v122615464","1.1.10","17445078","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Current liabilities","Dollars","81","thousands","3","v122615465","1.1.11","6080986","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Advances from associated companies and/or shareholders","Dollars","81","thousands","3","v122616444","1.1.12","207383","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Long-term debt and other non-current liabilities","Dollars","81","thousands","3","v122615466","1.1.13","10050529","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Deferred income taxes","Dollars","81","thousands","3","v122615467","1.1.14","460022","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other liabillities","Dollars","81","thousands","3","v122615468","1.1.15","646158","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total shareholders equity","Dollars","81","thousands","3","v122615469","1.1.16","3560270","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Number of carriers included","Number","223","units","0","v122615470","1.1.17","93","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Capital stock","Dollars","81","thousands","3","v122615471","1.1.18","2816457","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Retained earnings","Dollars","81","thousands","3","v122615472","1.1.19","578207","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other items","Dollars","81","thousands","3","v122615473","1.1.20","165606","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total assets","Dollars","81","thousands","3","v122615474","1.2.1","19861618","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Current assets","Dollars","81","thousands","3","v122615475","1.2.2","5906126","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other financial assets","Dollars","81","thousands","3","v122615476","1.2.3","1490255","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating property and equipment","Dollars","81","thousands","3","v122615477","1.2.4","15548213","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615478","1.2.5","5244822","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Non-operating property and equipment","Dollars","81","thousands","3","v122615479","1.2.6","91424","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615480","1.2.7","10450","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other assets","Dollars","81","thousands","3","v122615481","1.2.8","2080872","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total liabilities and capital","Dollars","81","thousands","3","v122615482","1.2.9","19861618","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total liabilities","Dollars","81","thousands","3","v122615483","1.2.10","16658860","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Current liabilities","Dollars","81","thousands","3","v122615484","1.2.11","5780559","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Advances from associated companies and/or shareholders","Dollars","81","thousands","3","v122616445","1.2.12","54511","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Long-term debt and other non-current liabilities","Dollars","81","thousands","3","v122615485","1.2.13","9766057","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Deferred income taxes","Dollars","81","thousands","3","v122615486","1.2.14","417788","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other liabillities","Dollars","81","thousands","3","v122615487","1.2.15","639945","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total shareholders equity","Dollars","81","thousands","3","v122615488","1.2.16","3202758","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Number of carriers included","Number","223","units","0","v122615489","1.2.17","25","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Capital stock","Dollars","81","thousands","3","v122615490","1.2.18","2654525","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Retained earnings","Dollars","81","thousands","3","v122615491","1.2.19","392346","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other items","Dollars","81","thousands","3","v122615492","1.2.20","155887","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Total assets","Dollars","81","thousands","3","v122615493","1.3.1","1143731","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Current assets","Dollars","81","thousands","3","v122615494","1.3.2","390348","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","All other financial assets","Dollars","81","thousands","3","v122615495","1.3.3","56009","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Operating property and equipment","Dollars","81","thousands","3","v122615496","1.3.4","1090967","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615497","1.3.5","426917","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Non-operating property and equipment","Dollars","81","thousands","3","v122615498","1.3.6","61601","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615499","1.3.7","36718","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","All other assets","Dollars","81","thousands","3","v122615500","1.3.8","8441","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Total liabilities and capital","Dollars","81","thousands","3","v122615501","1.3.9","1143731","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Total liabilities","Dollars","81","thousands","3","v122615502","1.3.10","786218","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Current liabilities","Dollars","81","thousands","3","v122615503","1.3.11","300427","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Advances from associated companies and/or shareholders","Dollars","81","thousands","3","v122616446","1.3.12","152872","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Long-term debt and other non-current liabilities","Dollars","81","thousands","3","v122615504","1.3.13","284471","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Deferred income taxes","Dollars","81","thousands","3","v122615505","1.3.14","42234","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","All other liabillities","Dollars","81","thousands","3","v122615506","1.3.15","6213","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Total shareholders equity","Dollars","81","thousands","3","v122615507","1.3.16","357512","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Number of carriers included","Number","223","units","0","v122615508","1.3.17","68","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Capital stock","Dollars","81","thousands","3","v122615509","1.3.18","161932","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Retained earnings","Dollars","81","thousands","3","v122615510","1.3.19","185862","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","All other items","Dollars","81","thousands","3","v122615511","1.3.20","9719","","","","0"
"2015","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total assets","Dollars","81","thousands","3","v122615455","1.1.1","23401666","","","","0"
"2015","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Current assets","Dollars","81","thousands","3","v122615456","1.1.2","6679213","","","","0"
"2015","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other financial assets","Dollars","81","thousands","3","v122615457","1.1.3","2476140","","","","0"
"2015","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating property and equipment","Dollars","81","thousands","3","v122615458","1.1.4","19218377","","","","0"
"2015","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615459","1.1.5","6099050","","","","0"
"2015","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Non-operating property and equipment","Dollars","81","thousands","3","v122615460","1.1.6","198308","","","","0"
"2015","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615461","1.1.7","56683","","","","0"
