"REF_DATE","GEO","DGUID","Air carrier levels","Operating revenue and expenses","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, scheduled services","Dollars","81","thousands","3","v122615351","1.2.2","17092810","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Passengers, scheduled services","Dollars","81","thousands","3","v122615352","1.2.3","16220938","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Goods, scheduled services","Dollars","81","thousands","3","v122615353","1.2.4","871872","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, charter services","Dollars","81","thousands","3","v122615354","1.2.5","1112316","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Passengers, charter services","Dollars","81","thousands","3","v122615355","1.2.6","883370","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Goods, charter services","Dollars","81","thousands","3","v122615356","1.2.7","228946","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other flight - related revenue","Dollars","81","thousands","3","v122615357","1.2.8","42335","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other revenue","Dollars","81","thousands","3","v122615358","1.2.9","804130","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, operating expenses","Dollars","81","thousands","3","v122615359","1.2.10","18053097","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Maintenance, ground property and equipment","Dollars","81","thousands","3","v122615360","1.2.11","134228","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Aircraft operations","Dollars","81","thousands","3","v122615361","1.2.12","9795992","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Maintenance, flight equipment","Dollars","81","thousands","3","v122615362","1.2.13","1795699","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Depreciation","Dollars","81","thousands","3","v122615363","1.2.14","995058","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other expenses","Dollars","81","thousands","3","v122615364","1.2.15","5332120","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Net income (loss)","Dollars","81","thousands","3","v122615365","1.2.16","618472","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating income (loss), net","Dollars","81","thousands","3","v122615366","1.2.17","998493","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Non-operating income (loss), net","Dollars","81","thousands","3","v122615367","1.2.18","-251818","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Interest and discount income","Dollars","81","thousands","3","v122615368","1.2.19","158312","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Interest expenses","Dollars","81","thousands","3","v122615369","1.2.20","376871","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other non-operating income (loss), net","Dollars","81","thousands","3","v122615370","1.2.21","-33259","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Provision for income taxes","Dollars","81","thousands","3","v122615371","1.2.22","128203","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Income (loss) before provision for income taxes","Dollars","81","thousands","3","v122615372","1.2.23","746675","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Total, operating revenue, scheduled and charter services","Dollars","81","thousands","3","v122615373","1.3.1","1291481","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Total, scheduled services","Dollars","81","thousands","3","v122615374","1.3.2","246569","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Passengers, scheduled services","Dollars","81","thousands","3","v122615375","1.3.3","215655","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Goods, scheduled services","Dollars","81","thousands","3","v122615376","1.3.4","30914","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Total, charter services","Dollars","81","thousands","3","v122615377","1.3.5","854254","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Passengers, charter services","Dollars","81","thousands","3","v122615378","1.3.6","761419","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Goods, charter services","Dollars","81","thousands","3","v122615379","1.3.7","92835","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","All other flight - related revenue","Dollars","81","thousands","3","v122615380","1.3.8","38054","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","All other revenue","Dollars","81","thousands","3","v122615381","1.3.9","152604","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Total, operating expenses","Dollars","81","thousands","3","v122615382","1.3.10","1196259","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Maintenance, ground property and equipment","Dollars","81","thousands","3","v122615383","1.3.11","83947","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Aircraft operations","Dollars","81","thousands","3","v122615384","1.3.12","697534","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Maintenance, flight equipment","Dollars","81","thousands","3","v122615385","1.3.13","164817","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Depreciation","Dollars","81","thousands","3","v122615386","1.3.14","68612","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","All other expenses","Dollars","81","thousands","3","v122615387","1.3.15","181350","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Net income (loss)","Dollars","81","thousands","3","v122615388","1.3.16","74320","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Operating income (loss), net","Dollars","81","thousands","3","v122615389","1.3.17","95222","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Non-operating income (loss), net","Dollars","81","thousands","3","v122615390","1.3.18","-11304","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Interest and discount income","Dollars","81","thousands","3","v122615391","1.3.19","860","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Interest expenses","Dollars","81","thousands","3","v122615392","1.3.20","18126","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","All other non-operating income (loss), net","Dollars","81","thousands","3","v122615393","1.3.21","5963","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Provision for income taxes","Dollars","81","thousands","3","v122615394","1.3.22","9599","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Income (loss) before provision for income taxes","Dollars","81","thousands","3","v122615395","1.3.23","83918","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, operating revenue, scheduled and charter services","Dollars","81","thousands","3","v122615327","1.1.1","20816397","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, scheduled services","Dollars","81","thousands","3","v122615328","1.1.2","17764855","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Passengers, scheduled services","Dollars","81","thousands","3","v122615329","1.1.3","16862407","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Goods, scheduled services","Dollars","81","thousands","3","v122615330","1.1.4","902448","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, charter services","Dollars","81","thousands","3","v122615331","1.1.5","1938455","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Passengers, charter services","Dollars","81","thousands","3","v122615332","1.1.6","1662668","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Goods, charter services","Dollars","81","thousands","3","v122615333","1.1.7","275787","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other flight - related revenue","Dollars","81","thousands","3","v122615334","1.1.8","72058","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other revenue","Dollars","81","thousands","3","v122615335","1.1.9","1041029","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, operating expenses","Dollars","81","thousands","3","v122615336","1.1.10","19532300","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Maintenance, ground property and equipment","Dollars","81","thousands","3","v122615337","1.1.11","230533","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Aircraft operations","Dollars","81","thousands","3","v122615338","1.1.12","10407384","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Maintenance, flight equipment","Dollars","81","thousands","3","v122615339","1.1.13","2013572","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Depreciation","Dollars","81","thousands","3","v122615340","1.1.14","997526","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other expenses","Dollars","81","thousands","3","v122615341","1.1.15","5883286","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Net income (loss)","Dollars","81","thousands","3","v122615342","1.1.16","513311","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating income (loss), net","Dollars","81","thousands","3","v122615343","1.1.17","1284097","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Non-operating income (loss), net","Dollars","81","thousands","3","v122615344","1.1.18","-598513","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Interest and discount income","Dollars","81","thousands","3","v122615345","1.1.19","153204","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Interest expenses","Dollars","81","thousands","3","v122615346","1.1.20","485647","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other non-operating income (loss), net","Dollars","81","thousands","3","v122615347","1.1.21","-266069","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Provision for income taxes","Dollars","81","thousands","3","v122615348","1.1.22","172273","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Income (loss) before provision for income taxes","Dollars","81","thousands","3","v122615349","1.1.23","685585","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, operating revenue, scheduled and charter services","Dollars","81","thousands","3","v122615350","1.2.1","19495745","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, scheduled services","Dollars","81","thousands","3","v122615351","1.2.2","17523953","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Passengers, scheduled services","Dollars","81","thousands","3","v122615352","1.2.3","16649442","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Goods, scheduled services","Dollars","81","thousands","3","v122615353","1.2.4","874510","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, charter services","Dollars","81","thousands","3","v122615354","1.2.5","1058435","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Passengers, charter services","Dollars","81","thousands","3","v122615355","1.2.6","847287","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Goods, charter services","Dollars","81","thousands","3","v122615356","1.2.7","211147","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other flight - related revenue","Dollars","81","thousands","3","v122615357","1.2.8","17209","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other revenue","Dollars","81","thousands","3","v122615358","1.2.9","896149","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, operating expenses","Dollars","81","thousands","3","v122615359","1.2.10","18287867","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Maintenance, ground property and equipment","Dollars","81","thousands","3","v122615360","1.2.11","147669","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Aircraft operations","Dollars","81","thousands","3","v122615361","1.2.12","9713994","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Maintenance, flight equipment","Dollars","81","thousands","3","v122615362","1.2.13","1831554","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Depreciation","Dollars","81","thousands","3","v122615363","1.2.14","928792","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other expenses","Dollars","81","thousands","3","v122615364","1.2.15","5665859","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Net income (loss)","Dollars","81","thousands","3","v122615365","1.2.16","442845","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating income (loss), net","Dollars","81","thousands","3","v122615366","1.2.17","1207878","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Non-operating income (loss), net","Dollars","81","thousands","3","v122615367","1.2.18","-603522","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Interest and discount income","Dollars","81","thousands","3","v122615368","1.2.19","152080","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Interest expenses","Dollars","81","thousands","3","v122615369","1.2.20","462916","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other non-operating income (loss), net","Dollars","81","thousands","3","v122615370","1.2.21","-292686","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Provision for income taxes","Dollars","81","thousands","3","v122615371","1.2.22","161511","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Income (loss) before provision for income taxes","Dollars","81","thousands","3","v122615372","1.2.23","604356","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Total, operating revenue, scheduled and charter services","Dollars","81","thousands","3","v122615373","1.3.1","1320652","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Total, scheduled services","Dollars","81","thousands","3","v122615374","1.3.2","240902","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Passengers, scheduled services","Dollars","81","thousands","3","v122615375","1.3.3","212965","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Goods, scheduled services","Dollars","81","thousands","3","v122615376","1.3.4","27937","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Total, charter services","Dollars","81","thousands","3","v122615377","1.3.5","880021","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Passengers, charter services","Dollars","81","thousands","3","v122615378","1.3.6","815381","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Goods, charter services","Dollars","81","thousands","3","v122615379","1.3.7","64640","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","All other flight - related revenue","Dollars","81","thousands","3","v122615380","1.3.8","54850","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","All other revenue","Dollars","81","thousands","3","v122615381","1.3.9","144880","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Total, operating expenses","Dollars","81","thousands","3","v122615382","1.3.10","1244433","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Maintenance, ground property and equipment","Dollars","81","thousands","3","v122615383","1.3.11","82864","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Aircraft operations","Dollars","81","thousands","3","v122615384","1.3.12","693390","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Maintenance, flight equipment","Dollars","81","thousands","3","v122615385","1.3.13","182018","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Depreciation","Dollars","81","thousands","3","v122615386","1.3.14","68734","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","All other expenses","Dollars","81","thousands","3","v122615387","1.3.15","217427","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Net income (loss)","Dollars","81","thousands","3","v122615388","1.3.16","70467","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Operating income (loss), net","Dollars","81","thousands","3","v122615389","1.3.17","76219","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Non-operating income (loss), net","Dollars","81","thousands","3","v122615390","1.3.18","5010","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Interest and discount income","Dollars","81","thousands","3","v122615391","1.3.19","1124","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Interest expenses","Dollars","81","thousands","3","v122615392","1.3.20","22732","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","All other non-operating income (loss), net","Dollars","81","thousands","3","v122615393","1.3.21","26617","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Provision for income taxes","Dollars","81","thousands","3","v122615394","1.3.22","10762","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Income (loss) before provision for income taxes","Dollars","81","thousands","3","v122615395","1.3.23","81229","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, operating revenue, scheduled and charter services","Dollars","81","thousands","3","v122615327","1.1.1","22309270","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, scheduled services","Dollars","81","thousands","3","v122615328","1.1.2","18951854","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Passengers, scheduled services","Dollars","81","thousands","3","v122615329","1.1.3","18027369","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Goods, scheduled services","Dollars","81","thousands","3","v122615330","1.1.4","924485","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, charter services","Dollars","81","thousands","3","v122615331","1.1.5","1983606","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Passengers, charter services","Dollars","81","thousands","3","v122615332","1.1.6","1698789","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Goods, charter services","Dollars","81","thousands","3","v122615333","1.1.7","284817","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other flight - related revenue","Dollars","81","thousands","3","v122615334","1.1.8","87569","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other revenue","Dollars","81","thousands","3","v122615335","1.1.9","1286242","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, operating expenses","Dollars","81","thousands","3","v122615336","1.1.10","20665843","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Maintenance, ground property and equipment","Dollars","81","thousands","3","v122615337","1.1.11","213094","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Aircraft operations","Dollars","81","thousands","3","v122615338","1.1.12","10923386","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Maintenance, flight equipment","Dollars","81","thousands","3","v122615339","1.1.13","2135134","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Depreciation","Dollars","81","thousands","3","v122615340","1.1.14","985662","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other expenses","Dollars","81","thousands","3","v122615341","1.1.15","6408567","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Net income (loss)","Dollars","81","thousands","3","v122615342","1.1.16","650767","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating income (loss), net","Dollars","81","thousands","3","v122615343","1.1.17","1643427","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Non-operating income (loss), net","Dollars","81","thousands","3","v122615344","1.1.18","-834460","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Interest and discount income","Dollars","81","thousands","3","v122615345","1.1.19","156670","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Interest expenses","Dollars","81","thousands","3","v122615346","1.1.20","428934","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other non-operating income (loss), net","Dollars","81","thousands","3","v122615347","1.1.21","-562196","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Provision for income taxes","Dollars","81","thousands","3","v122615348","1.1.22","158200","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Income (loss) before provision for income taxes","Dollars","81","thousands","3","v122615349","1.1.23","808967","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, operating revenue, scheduled and charter services","Dollars","81","thousands","3","v122615350","1.2.1","20822968","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, scheduled services","Dollars","81","thousands","3","v122615351","1.2.2","18694437","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Passengers, scheduled services","Dollars","81","thousands","3","v122615352","1.2.3","17798304","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Goods, scheduled services","Dollars","81","thousands","3","v122615353","1.2.4","896133","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, charter services","Dollars","81","thousands","3","v122615354","1.2.5","992483","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Passengers, charter services","Dollars","81","thousands","3","v122615355","1.2.6","780288","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Goods, charter services","Dollars","81","thousands","3","v122615356","1.2.7","212195","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other flight - related revenue","Dollars","81","thousands","3","v122615357","1.2.8","36864","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other revenue","Dollars","81","thousands","3","v122615358","1.2.9","1099185","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, operating expenses","Dollars","81","thousands","3","v122615359","1.2.10","19266374","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Maintenance, ground property and equipment","Dollars","81","thousands","3","v122615360","1.2.11","137621","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Aircraft operations","Dollars","81","thousands","3","v122615361","1.2.12","10130586","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Maintenance, flight equipment","Dollars","81","thousands","3","v122615362","1.2.13","1917309","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Depreciation","Dollars","81","thousands","3","v122615363","1.2.14","910246","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other expenses","Dollars","81","thousands","3","v122615364","1.2.15","6170612","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Net income (loss)","Dollars","81","thousands","3","v122615365","1.2.16","579109","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating income (loss), net","Dollars","81","thousands","3","v122615366","1.2.17","1556595","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Non-operating income (loss), net","Dollars","81","thousands","3","v122615367","1.2.18","-828954","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Interest and discount income","Dollars","81","thousands","3","v122615368","1.2.19","155923","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Interest expenses","Dollars","81","thousands","3","v122615369","1.2.20","406233","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","All other non-operating income (loss), net","Dollars","81","thousands","3","v122615370","1.2.21","-578645","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Provision for income taxes","Dollars","81","thousands","3","v122615371","1.2.22","148532","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Income (loss) before provision for income taxes","Dollars","81","thousands","3","v122615372","1.2.23","727640","","","","0"
